address,annotations,bio
131 شارع النهضة بجوار المدرسة عمارة الامل الدور الخامس شقة 17 عين شمس المنوفية,"{""CITY"": ""المنوفية"", ""AREA"": ""عين شمس"", ""NUM_STREET"": ""131"", ""STREET"": ""النهضة"", ""LANDMARK"": ""المدرسة"", ""BUILDING"": ""الامل"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""17""}","[[""131"", ""B-NUM_STREET""], [""شارع"", ""O""], [""النهضة"", ""B-STREET""], [""بجوار"", ""O""], [""المدرسة"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الامل"", ""B-BUILDING""], [""الدور"", ""O""], [""الخامس"", ""B-FLOOR""], [""شقة"", ""O""], [""17"", ""B-APARTMENT""], [""عين"", ""B-AREA""], [""شمس"", ""I-AREA""], [""المنوفية"", ""B-CITY""]]"
شارع الجامع الازهر اعلى البنك عمارة الربيع الدور السادس شقة 43 الدقى الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""الدقى"", ""STREET"": ""الجامع الازهر"", ""LANDMARK"": ""البنك"", ""BUILDING"": ""الربيع"", ""FLOOR"": ""السادس"", ""APARTMENT"": ""43""}","[[""شارع"", ""O""], [""الجامع"", ""B-STREET""], [""الازهر"", ""I-STREET""], [""اعلى"", ""O""], [""البنك"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الربيع"", ""B-BUILDING""], [""الدور"", ""O""], [""السادس"", ""B-FLOOR""], [""شقة"", ""O""], [""43"", ""B-APARTMENT""], [""الدقى"", ""B-AREA""], [""الجيزة"", ""B-CITY""]]"
شارع الحسين بجوار الصيدلية برج الفردوس الدور الخامس شقة 49 المعادى الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""المعادى"", ""STREET"": ""الحسين"", ""LANDMARK"": ""الصيدلية"", ""BUILDING"": ""برج الفردوس"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""49""}","[[""شارع"", ""O""], [""الحسين"", ""B-STREET""], [""بجوار"", ""O""], [""الصيدلية"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""الفردوس"", ""I-BUILDING""], [""الدور"", ""O""], [""الخامس"", ""B-FLOOR""], [""شقة"", ""O""], [""49"", ""B-APARTMENT""], [""المعادى"", ""B-AREA""], [""الغربية"", ""B-CITY""]]"
106 شارع بنى سويف بجوار النادى ابراج الزمالك الدور السادس شقة 48 المنصورة الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""المنصورة"", ""NUM_STREET"": ""106"", ""STREET"": ""بنى سويف"", ""LANDMARK"": ""النادى"", ""BUILDING"": ""ابراج الزمالك"", ""FLOOR"": ""السادس"", ""APARTMENT"": ""48""}","[[""106"", ""B-NUM_STREET""], [""شارع"", ""O""], [""بنى"", ""B-STREET""], [""سويف"", ""I-STREET""], [""بجوار"", ""O""], [""النادى"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""الزمالك"", ""I-BUILDING""], [""الدور"", ""O""], [""السادس"", ""B-FLOOR""], [""شقة"", ""O""], [""48"", ""B-APARTMENT""], [""المنصورة"", ""B-AREA""], [""الغربية"", ""B-CITY""]]"
53 شارع التضامن متفرع من شارع السيدة عائشة بجوار السوبر ماركت برج المعادى الدور السابع شقة 36 السادس من اكتوبر القاهرة,"{""CITY"": ""القاهرة"", ""AREA"": ""السادس من اكتوبر"", ""NUM_STREET"": ""53"", ""MAIN_STREET"": ""السيدة عائشة"", ""STREET"": ""التضامن"", ""LANDMARK"": ""السوبر ماركت"", ""BUILDING"": ""برج المعادى"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""36""}","[[""53"", ""B-NUM_STREET""], [""شارع"", ""O""], [""التضامن"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""السيدة"", ""B-MAIN_STREET""], [""عائشة"", ""I-MAIN_STREET""], [""بجوار"", ""O""], [""السوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""برج"", ""B-BUILDING""], [""المعادى"", ""I-BUILDING""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""36"", ""B-APARTMENT""], [""السادس"", ""B-AREA""], [""من"", ""I-AREA""], [""اكتوبر"", ""I-AREA""], [""القاهرة"", ""B-CITY""]]"
158 شارع الشهداء متفرع من شارع الجامع الازهر برج المعادى الدور الثالث شقة 28 المعادى القاهرة,"{""CITY"": ""القاهرة"", ""NUM_STREET"": ""158"", ""MAIN_STREET"": ""الجامع الازهر"", ""STREET"": ""الشهداء"", ""BUILDING"": ""برج المعادى"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""28""}","[[""158"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الشهداء"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الجامع"", ""B-MAIN_STREET""], [""الازهر"", ""I-MAIN_STREET""], [""برج"", ""B-BUILDING""], [""المعادى"", ""I-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""28"", ""B-APARTMENT""], [""المعادى"", ""O""], [""القاهرة"", ""B-CITY""]]"
71 شارع الفاتح متفرع من شارع السيدة عائشة بجوار البنك الاهلى برج القاهرة الدور السابع شقة 15 الزيتون المنوفية,"{""CITY"": ""المنوفية"", ""AREA"": ""الزيتون"", ""NUM_STREET"": ""71"", ""MAIN_STREET"": ""السيدة عائشة"", ""STREET"": ""الفاتح"", ""LANDMARK"": ""البنك الاهلى"", ""BUILDING"": ""برج القاهرة"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""15""}","[[""71"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الفاتح"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""السيدة"", ""B-MAIN_STREET""], [""عائشة"", ""I-MAIN_STREET""], [""بجوار"", ""O""], [""البنك"", ""B-LANDMARK""], [""الاهلى"", ""I-LANDMARK""], [""برج"", ""B-BUILDING""], [""القاهرة"", ""I-BUILDING""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""15"", ""B-APARTMENT""], [""الزيتون"", ""B-AREA""], [""المنوفية"", ""B-CITY""]]"
187 شارع الاستقلال متفرع من شارع الفاتح بجوار المركز الطبى برج الورود الدور الأول شقة 8 مدينة نصر الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""مدينة نصر"", ""NUM_STREET"": ""187"", ""MAIN_STREET"": ""الفاتح"", ""STREET"": ""الاستقلال"", ""LANDMARK"": ""المركز الطبى"", ""BUILDING"": ""برج الورود"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""8""}","[[""187"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الاستقلال"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الفاتح"", ""B-MAIN_STREET""], [""بجوار"", ""O""], [""المركز"", ""B-LANDMARK""], [""الطبى"", ""I-LANDMARK""], [""برج"", ""B-BUILDING""], [""الورود"", ""I-BUILDING""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""8"", ""B-APARTMENT""], [""مدينة"", ""B-AREA""], [""نصر"", ""I-AREA""], [""الغربية"", ""B-CITY""]]"
24 شارع الازهر برج القاهرة الدور السابع شقة 19 سيدي جابر الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""سيدي جابر"", ""NUM_STREET"": ""24"", ""STREET"": ""الازهر"", ""BUILDING"": ""برج القاهرة"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""19""}","[[""24"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الازهر"", ""B-STREET""], [""برج"", ""B-BUILDING""], [""القاهرة"", ""I-BUILDING""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""19"", ""B-APARTMENT""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""], [""الغربية"", ""B-CITY""]]"
شارع الثورة متفرع من شارع دمنهور اعلى المطعم ابراج البستان الدور الثالث شقة 2 وسط البلد الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""وسط البلد"", ""MAIN_STREET"": ""دمنهور"", ""STREET"": ""الثورة"", ""LANDMARK"": ""المطعم"", ""BUILDING"": ""ابراج البستان"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""2""}","[[""شارع"", ""O""], [""الثورة"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""دمنهور"", ""B-MAIN_STREET""], [""اعلى"", ""O""], [""المطعم"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""البستان"", ""I-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""2"", ""B-APARTMENT""], [""وسط"", ""B-AREA""], [""البلد"", ""I-AREA""], [""الجيزة"", ""B-CITY""]]"
150 شارع الحسين متفرع من شارع العروبة بجوار الحديقة عمارة الامل الدور العاشر شقة 35 فيصل الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""فيصل"", ""NUM_STREET"": ""150"", ""MAIN_STREET"": ""العروبة"", ""STREET"": ""الحسين"", ""LANDMARK"": ""الحديقة"", ""BUILDING"": ""الامل"", ""FLOOR"": ""العاشر"", ""APARTMENT"": ""35""}","[[""150"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الحسين"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""العروبة"", ""B-MAIN_STREET""], [""بجوار"", ""O""], [""الحديقة"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الامل"", ""B-BUILDING""], [""الدور"", ""O""], [""العاشر"", ""B-FLOOR""], [""شقة"", ""O""], [""35"", ""B-APARTMENT""], [""فيصل"", ""B-AREA""], [""الغربية"", ""B-CITY""]]"
شارع البحيرة متفرع من شارع الشعراوى امام المول ابراج الزمالك الدور الثالث شقة 37 سيدي جابر الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""سيدي جابر"", ""MAIN_STREET"": ""الشعراوى"", ""STREET"": ""البحيرة"", ""LANDMARK"": ""المول"", ""BUILDING"": ""ابراج الزمالك"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""37""}","[[""شارع"", ""O""], [""البحيرة"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الشعراوى"", ""B-MAIN_STREET""], [""امام"", ""O""], [""المول"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""الزمالك"", ""I-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""37"", ""B-APARTMENT""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""], [""الدقهلية"", ""B-CITY""]]"
شارع الرياض بجوار الصيدلية برج الفردوس الدور الثالث شقة 40 سيدى بشر الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""سيدى بشر"", ""STREET"": ""الرياض"", ""LANDMARK"": ""الصيدلية"", ""BUILDING"": ""برج الفردوس"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""40""}","[[""شارع"", ""O""], [""الرياض"", ""B-STREET""], [""بجوار"", ""O""], [""الصيدلية"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""الفردوس"", ""I-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""40"", ""B-APARTMENT""], [""سيدى"", ""B-AREA""], [""بشر"", ""I-AREA""], [""الجيزة"", ""B-CITY""]]"
56 شارع الحسين متفرع من شارع الوحدة امام المول عمارة الشروق الدور السادس شقة 10 فيصل المنوفية,"{""CITY"": ""المنوفية"", ""AREA"": ""فيصل"", ""NUM_STREET"": ""56"", ""MAIN_STREET"": ""الوحدة"", ""STREET"": ""الحسين"", ""LANDMARK"": ""المول"", ""BUILDING"": ""الشروق"", ""FLOOR"": ""السادس"", ""APARTMENT"": ""10""}","[[""56"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الحسين"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الوحدة"", ""B-MAIN_STREET""], [""امام"", ""O""], [""المول"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الشروق"", ""B-BUILDING""], [""الدور"", ""O""], [""السادس"", ""B-FLOOR""], [""شقة"", ""O""], [""10"", ""B-APARTMENT""], [""فيصل"", ""B-AREA""], [""المنوفية"", ""B-CITY""]]"
شارع السيدة عائشة بجوار السوبر ماركت عمارة الياسمين الدور الثالث شقة 20 شبين الكوم الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""شبين الكوم"", ""STREET"": ""السيدة عائشة"", ""LANDMARK"": ""السوبر ماركت"", ""BUILDING"": ""الياسمين"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""20""}","[[""شارع"", ""O""], [""السيدة"", ""B-STREET""], [""عائشة"", ""I-STREET""], [""بجوار"", ""O""], [""السوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""عمارة"", ""O""], [""الياسمين"", ""B-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""20"", ""B-APARTMENT""], [""شبين"", ""B-AREA""], [""الكوم"", ""I-AREA""], [""الجيزة"", ""B-CITY""]]"
شارع بنى سويف متفرع من شارع السيدة عائشة بجوار الصيدلية ابراج الزمالك الدور الرابع شقة 43 الزمالك القاهرة,"{""CITY"": ""القاهرة"", ""MAIN_STREET"": ""السيدة عائشة"", ""STREET"": ""بنى سويف"", ""LANDMARK"": ""الصيدلية"", ""BUILDING"": ""ابراج الزمالك"", ""FLOOR"": ""الرابع"", ""APARTMENT"": ""43""}","[[""شارع"", ""O""], [""بنى"", ""B-STREET""], [""سويف"", ""I-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""السيدة"", ""B-MAIN_STREET""], [""عائشة"", ""I-MAIN_STREET""], [""بجوار"", ""O""], [""الصيدلية"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""الزمالك"", ""I-BUILDING""], [""الدور"", ""O""], [""الرابع"", ""B-FLOOR""], [""شقة"", ""O""], [""43"", ""B-APARTMENT""], [""الزمالك"", ""O""], [""القاهرة"", ""B-CITY""]]"
شارع بنى سويف بجوار النادى برج الورود الدور الثالث شقة 26 سموحة الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""سموحة"", ""STREET"": ""بنى سويف"", ""LANDMARK"": ""النادى"", ""BUILDING"": ""برج الورود"", ""FLOOR"": ""الثالث"", ""APARTMENT"": ""26""}","[[""شارع"", ""O""], [""بنى"", ""B-STREET""], [""سويف"", ""I-STREET""], [""بجوار"", ""O""], [""النادى"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""الورود"", ""I-BUILDING""], [""الدور"", ""O""], [""الثالث"", ""B-FLOOR""], [""شقة"", ""O""], [""26"", ""B-APARTMENT""], [""سموحة"", ""B-AREA""], [""الدقهلية"", ""B-CITY""]]"
188 شارع حسن الانور اعلى المطعم برج الورود الدور الأول شقة 21 المحلة الكبرى الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""المحلة الكبرى"", ""NUM_STREET"": ""188"", ""STREET"": ""حسن الانور"", ""LANDMARK"": ""المطعم"", ""BUILDING"": ""برج الورود"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""21""}","[[""188"", ""B-NUM_STREET""], [""شارع"", ""O""], [""حسن"", ""B-STREET""], [""الانور"", ""I-STREET""], [""اعلى"", ""O""], [""المطعم"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""الورود"", ""I-BUILDING""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""21"", ""B-APARTMENT""], [""المحلة"", ""B-AREA""], [""الكبرى"", ""I-AREA""], [""الجيزة"", ""B-CITY""]]"
126 شارع النيل بجوار الكافيه الدور الخامس شقة 16 مدينة نصر الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""مدينة نصر"", ""NUM_STREET"": ""126"", ""STREET"": ""النيل"", ""LANDMARK"": ""الكافيه"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""16""}","[[""126"", ""B-NUM_STREET""], [""شارع"", ""O""], [""النيل"", ""B-STREET""], [""بجوار"", ""O""], [""الكافيه"", ""B-LANDMARK""], [""الدور"", ""O""], [""الخامس"", ""B-FLOOR""], [""شقة"", ""O""], [""16"", ""B-APARTMENT""], [""مدينة"", ""B-AREA""], [""نصر"", ""I-AREA""], [""الغربية"", ""B-CITY""]]"
179 شارع شجرة الدر متفرع من شارع الشعراوى الدور العاشر شقة 26 الزمالك الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""الزمالك"", ""NUM_STREET"": ""179"", ""MAIN_STREET"": ""الشعراوى"", ""STREET"": ""شجرة الدر"", ""FLOOR"": ""العاشر"", ""APARTMENT"": ""26""}","[[""179"", ""B-NUM_STREET""], [""شارع"", ""O""], [""شجرة"", ""B-STREET""], [""الدر"", ""I-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الشعراوى"", ""B-MAIN_STREET""], [""الدور"", ""O""], [""العاشر"", ""B-FLOOR""], [""شقة"", ""O""], [""26"", ""B-APARTMENT""], [""الزمالك"", ""B-AREA""], [""الجيزة"", ""B-CITY""]]"
106 شارع الدقهلية امام المسجد الدور السابع شقة 2 الشيخ زايد الدقهلية,"{""AREA"": ""الشيخ زايد"", ""NUM_STREET"": ""106"", ""STREET"": ""الدقهلية"", ""LANDMARK"": ""المسجد"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""2""}","[[""106"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الدقهلية"", ""B-STREET""], [""امام"", ""O""], [""المسجد"", ""B-LANDMARK""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""2"", ""B-APARTMENT""], [""الشيخ"", ""B-AREA""], [""زايد"", ""I-AREA""], [""الدقهلية"", ""O""]]"
156 شارع الازهر اعلى المطعم ابراج البستان الدور السابع شقة 32 المعادى الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""المعادى"", ""NUM_STREET"": ""156"", ""STREET"": ""الازهر"", ""LANDMARK"": ""المطعم"", ""BUILDING"": ""ابراج البستان"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""32""}","[[""156"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الازهر"", ""B-STREET""], [""اعلى"", ""O""], [""المطعم"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""البستان"", ""I-BUILDING""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""32"", ""B-APARTMENT""], [""المعادى"", ""B-AREA""], [""الدقهلية"", ""B-CITY""]]"
شارع الازهر بجوار الصيدلية عمارة الشروق الدور الثاني شقة 42 وسط البلد الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""وسط البلد"", ""STREET"": ""الازهر"", ""LANDMARK"": ""الصيدلية"", ""BUILDING"": ""الشروق"", ""FLOOR"": ""الثاني"", ""APARTMENT"": ""42""}","[[""شارع"", ""O""], [""الازهر"", ""B-STREET""], [""بجوار"", ""O""], [""الصيدلية"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الشروق"", ""B-BUILDING""], [""الدور"", ""O""], [""الثاني"", ""B-FLOOR""], [""شقة"", ""O""], [""42"", ""B-APARTMENT""], [""وسط"", ""B-AREA""], [""البلد"", ""I-AREA""], [""الدقهلية"", ""B-CITY""]]"
شارع دمنهور بجوار الحديقة شقة 23 سيدي جابر الجيزة,"{""CITY"": ""الجيزة"", ""AREA"": ""سيدي جابر"", ""STREET"": ""دمنهور"", ""LANDMARK"": ""الحديقة"", ""APARTMENT"": ""23""}","[[""شارع"", ""O""], [""دمنهور"", ""B-STREET""], [""بجوار"", ""O""], [""الحديقة"", ""B-LANDMARK""], [""شقة"", ""O""], [""23"", ""B-APARTMENT""], [""سيدي"", ""B-AREA""], [""جابر"", ""I-AREA""], [""الجيزة"", ""B-CITY""]]"
77 شارع العروبة برج النهضة الدور الأول شقة 21 فيصل الغربية,"{""CITY"": ""الغربية"", ""AREA"": ""فيصل"", ""NUM_STREET"": ""77"", ""STREET"": ""العروبة"", ""BUILDING"": ""برج النهضة"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""21""}","[[""77"", ""B-NUM_STREET""], [""شارع"", ""O""], [""العروبة"", ""B-STREET""], [""برج"", ""B-BUILDING""], [""النهضة"", ""I-BUILDING""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""21"", ""B-APARTMENT""], [""فيصل"", ""B-AREA""], [""الغربية"", ""B-CITY""]]"
67 شارع الحسين اعلى المطعم عمارة الامل الدور الرابع شقة 4 المنصورة الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""المنصورة"", ""NUM_STREET"": ""67"", ""STREET"": ""الحسين"", ""LANDMARK"": ""المطعم"", ""BUILDING"": ""الامل"", ""FLOOR"": ""الرابع"", ""APARTMENT"": ""4""}","[[""67"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الحسين"", ""B-STREET""], [""اعلى"", ""O""], [""المطعم"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الامل"", ""B-BUILDING""], [""الدور"", ""O""], [""الرابع"", ""B-FLOOR""], [""شقة"", ""O""], [""4"", ""B-APARTMENT""], [""المنصورة"", ""B-AREA""], [""الدقهلية"", ""B-CITY""]]"
شارع شجرة الدر بجوار السوبر ماركت ابراج الحرية الدور السابع شقة 45 المهندسين المنوفية,"{""CITY"": ""المنوفية"", ""AREA"": ""المهندسين"", ""STREET"": ""شجرة الدر"", ""LANDMARK"": ""السوبر ماركت"", ""BUILDING"": ""ابراج الحرية"", ""FLOOR"": ""السابع"", ""APARTMENT"": ""45""}","[[""شارع"", ""O""], [""شجرة"", ""B-STREET""], [""الدر"", ""I-STREET""], [""بجوار"", ""O""], [""السوبر"", ""B-LANDMARK""], [""ماركت"", ""I-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""الحرية"", ""I-BUILDING""], [""الدور"", ""O""], [""السابع"", ""B-FLOOR""], [""شقة"", ""O""], [""45"", ""B-APARTMENT""], [""المهندسين"", ""B-AREA""], [""المنوفية"", ""B-CITY""]]"
47 شارع الدقهلية امام المستشفى ابراج الزمالك الدور الأول شقة 36 فيصل الإسكندرية,"{""CITY"": ""الإسكندرية"", ""AREA"": ""فيصل"", ""NUM_STREET"": ""47"", ""STREET"": ""الدقهلية"", ""LANDMARK"": ""المستشفى"", ""BUILDING"": ""ابراج الزمالك"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""36""}","[[""47"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الدقهلية"", ""B-STREET""], [""امام"", ""O""], [""المستشفى"", ""B-LANDMARK""], [""ابراج"", ""B-BUILDING""], [""الزمالك"", ""I-BUILDING""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""36"", ""B-APARTMENT""], [""فيصل"", ""B-AREA""], [""الإسكندرية"", ""B-CITY""]]"
106 شارع الجيش متفرع من شارع العروبة بجوار الكافيه برج النهضة الدور الخامس شقة 4 الزمالك الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""الزمالك"", ""NUM_STREET"": ""106"", ""MAIN_STREET"": ""العروبة"", ""STREET"": ""الجيش"", ""LANDMARK"": ""الكافيه"", ""BUILDING"": ""برج النهضة"", ""FLOOR"": ""الخامس"", ""APARTMENT"": ""4""}","[[""106"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الجيش"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""العروبة"", ""B-MAIN_STREET""], [""بجوار"", ""O""], [""الكافيه"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""النهضة"", ""I-BUILDING""], [""الدور"", ""O""], [""الخامس"", ""B-FLOOR""], [""شقة"", ""O""], [""4"", ""B-APARTMENT""], [""الزمالك"", ""B-AREA""], [""الدقهلية"", ""B-CITY""]]"
شارع الجيش اعلى البنك برج الورود الدور الرابع شقة 21 المعادى المنوفية,"{""CITY"": ""المنوفية"", ""AREA"": ""المعادى"", ""STREET"": ""الجيش"", ""LANDMARK"": ""البنك"", ""BUILDING"": ""برج الورود"", ""FLOOR"": ""الرابع"", ""APARTMENT"": ""21""}","[[""شارع"", ""O""], [""الجيش"", ""B-STREET""], [""اعلى"", ""O""], [""البنك"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""الورود"", ""I-BUILDING""], [""الدور"", ""O""], [""الرابع"", ""B-FLOOR""], [""شقة"", ""O""], [""21"", ""B-APARTMENT""], [""المعادى"", ""B-AREA""], [""المنوفية"", ""B-CITY""]]"
139 شارع الفاتح متفرع من شارع الحرية بجوار النادى عمارة الياسمين الدور التاسع شقة 43 المنصورة القاهرة,"{""CITY"": ""القاهرة"", ""AREA"": ""المنصورة"", ""NUM_STREET"": ""139"", ""MAIN_STREET"": ""الحرية"", ""STREET"": ""الفاتح"", ""LANDMARK"": ""النادى"", ""BUILDING"": ""الياسمين"", ""FLOOR"": ""التاسع"", ""APARTMENT"": ""43""}","[[""139"", ""B-NUM_STREET""], [""شارع"", ""O""], [""الفاتح"", ""B-STREET""], [""متفرع"", ""O""], [""من"", ""O""], [""شارع"", ""O""], [""الحرية"", ""B-MAIN_STREET""], [""بجوار"", ""O""], [""النادى"", ""B-LANDMARK""], [""عمارة"", ""O""], [""الياسمين"", ""B-BUILDING""], [""الدور"", ""O""], [""التاسع"", ""B-FLOOR""], [""شقة"", ""O""], [""43"", ""B-APARTMENT""], [""المنصورة"", ""B-AREA""], [""القاهرة"", ""B-CITY""]]"
46 شارع العروبة بجوار الكافيه برج النهضة الدور الأول شقة 37 الزيتون الدقهلية,"{""CITY"": ""الدقهلية"", ""AREA"": ""الزيتون"", ""NUM_STREET"": ""46"", ""STREET"": ""العروبة"", ""LANDMARK"": ""الكافيه"", ""BUILDING"": ""برج النهضة"", ""FLOOR"": ""الأول"", ""APARTMENT"": ""37""}","[[""46"", ""B-NUM_STREET""], [""شارع"", ""O""], [""العروبة"", ""B-STREET""], [""بجوار"", ""O""], [""الكافيه"", ""B-LANDMARK""], [""برج"", ""B-BUILDING""], [""النهضة"", ""I-BUILDING""], [""الدور"", ""O""], [""الأول"", ""B-FLOOR""], [""شقة"", ""O""], [""37"", ""B-APARTMENT""], [""الزيتون"", ""B-AREA""], [""الدقهلية"", ""B-CITY""]]"
